B,G,R
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
94.16,86.96,104.96000000000001
94.16,86.96,104.96000000000001
94.16,86.96,104.96000000000001
95.16,87.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
95.16,85.96,101.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,87.96,106.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
93.16,80.96,99.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
94.16,86.96,104.96000000000001
94.16,86.96,104.96000000000001
94.16,86.96,104.96000000000001
95.16,87.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,87.96,103.96000000000001
97.16,87.96,103.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
97.16,87.96,103.96000000000001
97.16,87.96,103.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
96.16,86.96,102.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,84.96,103.96000000000001
95.16,84.96,103.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
97.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,87.96,106.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
97.16,86.96,105.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
96.16,85.96,104.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
94.16,81.96,100.96000000000001
95.16,82.96,101.96000000000001
94.16,81.96,100.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
95.16,82.96,101.96000000000001
95.16,82.96,101.96000000000001
96.16,83.96,102.96000000000001
96.16,83.96,102.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
97.16,84.96,103.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
98.16,85.96,104.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,85.96,106.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
99.16,86.96,105.96000000000001
100.16,87.96,106.96000000000001
100.16,87.96,106.96000000000001
99.16,86.96,105.96000000000001
