B,G,R
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,91.67,107.67
102.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
103.67,95.67,111.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
102.67,92.67,108.67
102.67,92.67,108.67
101.67,91.67,107.67
101.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
99.67,93.67,109.67
99.67,93.67,109.67
99.67,93.67,109.67
99.67,93.67,111.67
99.67,93.67,111.67
99.67,93.67,109.67
99.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
104.67,94.67,110.67
105.67,95.67,111.67
105.67,95.67,111.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
105.67,95.67,111.67
105.67,95.67,111.67
104.67,94.67,110.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,93.67,112.67
102.67,93.67,112.67
102.67,93.67,112.67
101.67,92.67,111.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
96.67,88.67,104.67
96.67,88.67,104.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
96.67,90.67,106.67
96.67,90.67,106.67
96.67,90.67,106.67
96.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
97.67,89.67,105.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
100.67,92.67,108.67
99.67,91.67,107.67
98.67,90.67,106.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,91.67,107.67
102.67,92.67,108.67
102.67,92.67,108.67
103.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
103.67,95.67,111.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
101.67,91.67,107.67
101.67,91.67,107.67
100.67,90.67,106.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
98.67,92.67,108.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
99.67,93.67,109.67
99.67,93.67,111.67
99.67,93.67,111.67
101.67,92.67,111.67
101.67,92.67,111.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
104.67,94.67,110.67
105.67,95.67,111.67
105.67,95.67,111.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
105.67,95.67,111.67
105.67,95.67,111.67
104.67,94.67,110.67
104.67,94.67,110.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,93.67,112.67
102.67,93.67,112.67
102.67,93.67,112.67
102.67,93.67,112.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
97.67,89.67,105.67
98.67,90.67,106.67
97.67,89.67,105.67
96.67,88.67,104.67
96.67,88.67,104.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
98.67,90.67,106.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
97.67,89.67,105.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
97.67,89.67,105.67
95.67,89.67,105.67
95.67,89.67,105.67
95.67,89.67,105.67
96.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
99.67,89.67,105.67
99.67,89.67,105.67
100.67,90.67,106.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
101.67,91.67,107.67
102.67,92.67,108.67
103.67,93.67,109.67
103.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
99.67,93.67,109.67
99.67,93.67,111.67
99.67,93.67,111.67
101.67,92.67,111.67
101.67,92.67,111.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
104.67,94.67,110.67
105.67,95.67,111.67
105.67,95.67,111.67
105.67,95.67,111.67
104.67,94.67,110.67
104.67,94.67,110.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,93.67,112.67
103.67,94.67,113.67
103.67,94.67,113.67
103.67,94.67,113.67
103.67,95.67,111.67
103.67,95.67,111.67
103.67,95.67,111.67
102.67,94.67,110.67
102.67,94.67,110.67
102.67,94.67,110.67
98.67,90.67,106.67
98.67,90.67,106.67
97.67,89.67,105.67
96.67,88.67,104.67
96.67,88.67,104.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
97.67,89.67,105.67
98.67,90.67,106.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
97.67,89.67,105.67
97.67,89.67,105.67
95.67,89.67,105.67
95.67,89.67,105.67
95.67,89.67,105.67
96.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
98.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
100.67,90.67,106.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
101.67,91.67,107.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
98.67,90.67,106.67
98.67,90.67,106.67
99.67,91.67,107.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
101.67,91.67,107.67
102.67,92.67,108.67
103.67,93.67,109.67
103.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
99.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
99.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
98.67,92.67,108.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
97.67,91.67,107.67
99.67,91.67,107.67
99.67,91.67,107.67
100.67,92.67,108.67
100.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
102.67,94.67,110.67
102.67,94.67,110.67
101.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
102.67,94.67,110.67
100.67,92.67,108.67
100.67,92.67,108.67
100.67,92.67,108.67
101.67,93.67,109.67
101.67,93.67,109.67
101.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
102.67,92.67,108.67
102.67,92.67,108.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
103.67,93.67,109.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
102.67,92.67,108.67
