B,G,R
97.11,88.11,106.11
100.11,91.11,109.11
102.11,93.11,111.11
102.11,93.11,111.11
102.11,93.11,111.11
102.11,93.11,111.11
102.11,93.11,111.11
101.11,92.11,110.11
100.11,91.11,109.11
100.11,91.11,109.11
100.11,91.11,109.11
101.11,92.11,110.11
102.11,93.11,111.11
100.11,91.11,109.11
97.11,88.11,106.11
94.11,85.11,103.11
91.11,82.11,100.11
89.11,80.11,98.11
88.11,79.11,97.11
87.11,78.11,96.11
91.11,82.11,100.11
92.11,83.11,101.11
93.11,84.11,102.11
93.11,84.11,102.11
93.11,84.11,102.11
91.11,82.11,100.11
90.11,81.11,99.11
90.11,81.11,99.11
90.11,81.11,99.11
90.11,81.11,99.11
90.11,81.11,99.11
90.11,81.11,99.11
90.11,81.11,99.11
91.11,82.11,100.11
92.11,83.11,101.11
93.11,84.11,102.11
92.11,83.11,101.11
90.11,81.11,99.11
90.11,81.11,99.11
91.11,82.11,100.11
92.11,83.11,101.11
92.11,83.11,101.11
92.11,83.11,101.11
92.11,83.11,101.11
91.11,82.11,100.11
92.11,83.11,101.11
93.11,84.11,102.11
94.11,85.11,103.11
94.11,85.11,103.11
94.11,85.11,103.11
93.11,84.11,102.11
92.11,83.11,101.11
95.11,85.11,106.11
95.11,85.11,106.11
94.11,84.11,105.11
93.11,83.11,104.11
93.11,83.11,104.11
