B,G,R
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
93.71,84.91,105.11
93.71,84.91,105.11
93.71,84.91,105.11
93.71,84.91,105.11
93.71,84.91,105.11
93.71,84.91,105.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
93.71,84.91,105.11
93.71,84.91,105.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
95.71,84.91,105.11
94.71,83.91,104.11
93.71,82.91,103.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
97.71,86.91,107.11
98.71,87.91,108.11
97.71,86.91,107.11
96.71,85.91,106.11
95.71,84.91,105.11
95.71,84.91,105.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,86.91,107.11
97.71,86.91,107.11
98.71,87.91,108.11
98.71,87.91,108.11
98.71,87.91,108.11
98.71,87.91,108.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
97.71,84.91,109.11
97.71,84.91,109.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,84.91,107.11
96.71,84.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
92.71,85.91,107.11
92.71,85.91,107.11
92.71,85.91,107.11
91.71,84.91,106.11
90.71,83.91,105.11
90.71,83.91,105.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,106.11
94.71,85.91,106.11
95.71,86.91,107.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,83.91,104.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
94.71,83.91,104.11
94.71,83.91,104.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
97.71,86.91,107.11
97.71,86.91,107.11
96.71,85.91,106.11
95.71,84.91,105.11
95.71,84.91,105.11
97.71,86.91,107.11
96.71,85.91,106.11
96.71,85.91,106.11
96.71,85.91,106.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,86.91,107.11
96.71,85.91,106.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,86.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
99.71,87.91,110.11
99.71,87.91,110.11
99.71,87.91,110.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
99.71,87.91,110.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,84.91,107.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
96.71,83.91,108.11
97.71,84.91,109.11
97.71,84.91,109.11
97.71,84.91,109.11
97.71,84.91,109.11
96.71,83.91,108.11
96.71,83.91,108.11
95.71,83.91,106.11
95.71,83.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
92.71,85.91,107.11
92.71,85.91,107.11
91.71,84.91,106.11
91.71,84.91,106.11
90.71,83.91,105.11
90.71,83.91,105.11
92.71,83.91,105.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
92.71,83.91,105.11
92.71,83.91,105.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
94.71,85.91,107.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
93.71,84.91,106.11
94.71,85.91,106.11
95.71,86.91,107.11
95.71,86.91,107.11
95.71,86.91,107.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,85.91,106.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
92.71,81.91,102.11
92.71,81.91,102.11
92.71,81.91,102.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
92.71,81.91,102.11
94.71,83.91,104.11
94.71,83.91,104.11
95.71,84.91,105.11
95.71,84.91,105.11
95.71,84.91,105.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
93.71,82.91,103.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,83.91,104.11
94.71,82.91,105.11
94.71,82.91,105.11
94.71,82.91,105.11
94.71,82.91,105.11
95.71,83.91,106.11
95.71,83.91,106.11
95.71,83.91,106.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,84.91,107.11
95.71,83.91,106.11
95.71,83.91,106.11
97.71,85.91,108.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
98.71,86.91,109.11
97.71,85.91,108.11
97.71,85.91,108.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
96.71,84.91,107.11
95.71,83.91,106.11
95.71,83.91,106.11
95.71,83.91,106.11
95.71,83.91,106.11
95.71,83.91,106.11
